total_wh,3.086780
11.229434,4.075184
11.264280,4.078481
11.298690,4.081778
11.332984,4.085219
11.367118,4.088731
11.401143,4.092244
11.434986,4.096186
11.468671,4.099985
11.502148,4.104286
11.535427,4.108587
11.568500,4.113389
11.601344,4.118694
11.633971, voltage_actual
