time,voltage_drain,voltage_actual,current
21519.793866,,3.631696,0.000000
21561.624677,3.435004,,0.000000
21561.624677,,3.629474,0.000000
21603.473868,3.432782,,0.000000
21603.473868,,3.626893,0.000000
21645.353817,3.430489,,0.000000
21645.353817,,3.624671,0.000000
21687.176681,3.428195,,0.000000
21687.176681,,3.622449,0.000000
21729.001869,3.425973,,0.000000
21729.001869,,3.620299,0.000000
21770.853888,3.423751,,0.000000
21770.853888,,3.618005,0.000000
21812.709863,3.421385,,0.000000
21812.709863,,3.615783,0.000000
21854.553870,3.419235,,0.000000
21854.553870,,3.613704,0.000000
21896.417857,3.417013,,0.000000
21896.417857,,3.611339,0.000000
21938.269882,3.415006,,0.000000
21938.269882,,3.609332,0.000000
21980.129865,3.412855,,0.000000
21980.129865,,3.607253,0.000000
22021.972068,3.410776,,0.000000
22021.972068,,3.605174,0.000000
22063.833871,3.408626,,0.000000
22063.833871,,3.603024,0.000000
22105.673856,3.406547,,0.000000
22105.673856,,3.601088,0.000000
22147.541856,3.404253,,0.000000
22147.541856,,3.599010,0.000000
22189.373861,3.402390,,0.000000
22189.373861,,3.596931,0.000000
22231.253852,3.400383,,0.000000
22231.253852,,3.594996,0.000000
22273.109881,3.398232,,0.000000
22273.109881,,3.592917,0.000000
22314.961848,3.396225,,0.000000
22314.961848,,3.590910,0.000000
22356.825867,3.394218,,0.000000
22356.825867,,3.588831,0.000000
22398.681806,3.392211,,0.000000
22398.681806,,3.586824,0.000000
22440.509846,3.390204,,0.000000
22440.509846,,3.584817,0.000000
22482.365815,3.388412,,0.000000
22482.365815,,3.582953,0.000000
22524.189849,3.386262,,0.000000
22524.189849,,3.580946,0.000000
22566.045802,3.384326,,0.000000
22566.045802,,3.579011,0.000000
22607.904656,3.382391,,0.000000
22607.904656,,3.577075,0.000000
22649.761845,3.380527,,0.000000
22649.761845,,3.575140,0.000000
22691.617887,3.378449,,0.000000
22691.617887,,3.573205,0.000000
22733.461850,3.376441,,0.000000
22733.461850,,3.571126,0.000000
22775.329770,3.374649,,0.000000
22775.329770,,3.569405,0.000000
22817.181842,3.372642,,0.000000
22817.181842,,3.567542,0.000000
22859.025904,3.370707,,0.000000
22859.025904,,3.565535,0.000000
22900.892743,3.367983,,0.000000
22900.892743,,3.563599,0.000000
22942.749889,3.365618,,0.000000
22942.749889,,3.561592,0.000000
22984.585928,3.363826,,0.000000
22984.585928,,3.559657,0.000000
23026.433851,3.361962,,0.000000
23026.433851,,3.557937,0.000000
23068.242772,3.359955,,0.000000
23068.242772,,3.555930,0.000000
23110.073836,3.358020,,0.000000
23110.073836,,3.553923,0.000000
23151.872745,3.356156,,0.000000
23151.872745,,3.552202,0.000000
