time,voltage,current
0.000000,3.202423,2.998039
0.519982,3.187243,2.998078
1.040001,3.183469,2.998078
1.560010,3.180744,2.998104
2.080016,3.178415,2.998065
2.600006,3.176298,2.998091
3.120012,3.174328,2.998065
3.640000,3.172462,2.998104
4.160001,3.170679,2.998130
4.680002,3.168972,2.998104
5.200008,3.167315,2.998144
5.720026,3.165712,2.998118
6.240011,3.164157,2.998170
6.760016,3.162641,2.998130
7.280023,3.161157,2.998183
7.800020,3.159712,2.998196
8.320011,3.158294,2.998183
8.840007,3.156906,2.998183
9.360017,3.155544,2.998183
9.880014,3.154209,2.998222
10.400003,3.152893,2.998183
10.920009,3.151605,2.998248
11.440025,3.150337,2.998209
11.960010,3.149088,2.998196
12.480008,3.147860,2.998274
12.999997,3.146645,2.998235
13.519984,3.145453,2.998248
14.039998,3.144276,2.998235
14.559984,3.143113,2.998274
15.079983,3.141968,2.998261
15.600011,3.140838,2.998300
16.119997,3.139718,2.998274
16.640009,3.138617,2.998313
17.160013,3.137531,2.998287
17.680006,3.136455,2.998327
18.200002,3.135388,2.998274
18.720016,3.134338,2.998300
19.240021,3.133300,2.998353
19.760015,3.132272,2.998300
20.280019,3.131255,2.998340
20.800040,3.130248,2.998313
21.320019,3.129252,2.998327
21.840005,3.128271,2.998353
22.359995,3.127295,2.998340
22.880004,3.126329,2.998392
23.400000,3.125376,2.998353
23.920010,3.124425,2.998418
24.440034,3.123488,2.998405
24.959979,3.122558,2.998418
25.479983,3.121640,2.998405
26.000025,3.120728,2.998405
26.520005,3.119825,2.998444
27.040007,3.118931,2.998431
27.560000,3.118042,2.998457
28.079989,3.117159,2.998431
28.600010,3.116292,2.998470
29.120019,3.115424,2.998444
29.640001,3.114568,2.998509
30.160030,3.113717,2.998496
30.680008,3.112877,2.998496
31.200001,3.112038,2.998522
31.719990,3.111206,2.998509
32.239988,3.110383,2.998522
32.760008,3.109564,2.998522
33.280001,3.108757,2.998536
33.799998,3.107948,2.998549
34.320008,3.107147,2.998549
34.840010,3.106355,2.998509
35.360004,3.105565,2.998549
35.879988,3.104785,2.998562
36.400006,3.104007,2.998575
36.920026,3.103234,2.998588
37.440025,3.102463,2.998614
37.959986,3.101701,2.998640
38.480005,3.100944,2.998627
38.999992,3.100193,2.998666
39.519986,3.099445,2.998614
40.039990,3.098704,2.998653
40.560008,3.097968,2.998640
41.080001,3.097237,2.998679
41.599997,3.096504,2.998653
