time,voltage,current
0.000000,3.216572,1.499633
0.519980,3.179867,1.499594
1.039977,3.165909,1.499620
1.559976,3.158206,1.499633
2.079988,3.153044,1.499607
2.600004,3.149151,1.499581
3.119969,3.145980,1.499581
3.639987,3.143266,1.499620
4.159990,3.140866,1.499620
4.679980,3.138695,1.499581
5.199980,3.136701,1.499581
5.719978,3.134840,1.499581
6.239977,3.133095,1.499620
6.759975,3.131438,1.499607
7.279958,3.129863,1.499568
7.799957,3.128359,1.499555
8.319996,3.126910,1.499620
8.839989,3.125514,1.499607
9.359993,3.124168,1.499581
9.880005,3.122862,1.499568
10.400000,3.121595,1.499607
10.919995,3.120363,1.499633
11.439990,3.119161,1.499594
11.959995,3.117989,1.499594
12.479994,3.116848,1.499529
12.999997,3.115731,1.499594
13.520039,3.114638,1.499607
14.040003,3.113562,1.499594
14.559978,3.112514,1.499620
15.079996,3.111489,1.499594
15.599997,3.110475,1.499594
16.119996,3.109480,1.499594
16.639995,3.108504,1.499607
17.159997,3.107542,1.499594
17.679998,3.106597,1.499607
18.200019,3.105665,1.499607
18.719999,3.104750,1.499594
19.239995,3.103845,1.499620
19.760001,3.102959,1.499607
20.279991,3.102079,1.499555
20.799992,3.101216,1.499594
21.319988,3.100362,1.499594
21.839977,3.099520,1.499594
22.359995,3.098686,1.499607
22.879980,3.097864,1.499594
23.399979,3.097051,1.499594
23.919981,3.096251,1.499607
24.439978,3.095455,1.499620
24.959981,3.094672,1.499607
25.480000,3.093898,1.499555
25.999988,3.093132,1.499607
26.519996,3.092374,1.499633
27.039980,3.091625,1.499607
27.559994,3.090882,1.499607
28.079966,3.090148,1.499581
28.599989,3.089420,1.499594
29.119984,3.088703,1.499594
29.640003,3.087987,1.499607
30.159961,3.087281,1.499568
30.679995,3.086583,1.499594
31.199994,3.085890,1.499581
31.719995,3.085202,1.499607
32.239998,3.084528,1.499607
32.760007,3.083853,1.499594
33.280003,3.083182,1.499568
33.799995,3.082524,1.499607
34.319994,3.081866,1.499620
34.839992,3.081216,1.499581
35.359991,3.080572,1.499568
35.879994,3.079932,1.499594
36.399993,3.079300,1.499607
36.920001,3.078666,1.499594
37.440004,3.078043,1.499594
37.959996,3.077425,1.499607
38.479993,3.076807,1.499594
38.999993,3.076199,1.499594
39.519994,3.075597,1.499594
40.039996,3.074994,1.499620
40.559994,3.074399,1.499620
41.079970,3.073810,1.499555
41.599970,3.073224,1.499594
42.119960,3.072641,1.499607
42.639980,3.072061,1.499607
43.159991,3.071488,1.499555
43.679982,3.070916,1.499607
44.200000,3.070352,1.499620
44.719972,3.069789,1.499581
45.240002,3.069228,1.499594
45.759979,3.068678,1.499581
46.279961,3.068122,1.499594
46.799976,3.067575,1.499607
47.319974,3.067032,1.499594
47.839975,3.066493,1.499568
48.359980,3.065956,1.499620
48.879987,3.065424,1.499607
49.399975,3.064894,1.499607
49.919978,3.064366,1.499581
50.439991,3.063844,1.499607
50.960000,3.063319,1.499620
51.479994,3.062800,1.499633
51.999995,3.062289,1.499607
52.520000,3.061779,1.499568
53.040003,3.061272,1.499620
53.559996,3.060764,1.499607
54.079995,3.060263,1.499607
54.599977,3.059763,1.499594
55.119974,3.059261,1.499607
55.639979,3.058765,1.499620
56.159990,3.058275,1.499633
56.679981,3.057787,1.499607
57.199997,3.057300,1.499594
57.720001,3.056813,1.499607
58.240006,3.056336,1.499646
58.760002,3.055855,1.499607
59.279992,3.055380,1.499594
59.799996,3.054905,1.499594
60.319995,3.054434,1.499620
60.839982,3.053966,1.499607
61.359995,3.053500,1.499633
61.879997,3.053033,1.499594
62.399962,3.052572,1.499594
62.919980,3.052117,1.499607
63.439984,3.051652,1.499620
63.959998,3.051199,1.499607
64.480020,3.050746,1.499620
64.999983,3.050295,1.499607
65.519997,3.049843,1.499542
66.039992,3.049396,1.499620
66.559984,3.048949,1.499620
67.079996,3.048508,1.499607
67.599987,3.048067,1.499607
68.119982,3.047628,1.499581
68.639982,3.047189,1.499633
69.160001,3.046758,1.499620
69.679982,3.046320,1.499607
70.199994,3.045886,1.499581
70.719986,3.045458,1.499594
71.239986,3.045029,1.499646
71.759979,3.044602,1.499607
72.279995,3.044179,1.499607
72.799964,3.043755,1.499620
73.319960,3.043335,1.499607
73.839963,3.042916,1.499633
74.359978,3.042495,1.499620
74.879970,3.042080,1.499594
75.399984,3.041667,1.499594
75.919999,3.041253,1.499633
76.439958,3.040841,1.499607
76.960001,3.040431,1.499607
77.479980,3.040023,1.499607
77.999981,3.039615,1.499633
78.519989,3.039208,1.499607
79.039985,3.038803,1.499633
79.559982,3.038399,1.499607
80.079962,3.037995,1.499633
80.599960,3.037601,1.499607
81.119967,3.037201,1.499594
81.639980,3.036801,1.499620
82.160005,3.036404,1.499620
82.679995,3.036010,1.499607
83.199997,3.035614,1.499568
83.719982,3.035220,1.499620
84.239977,3.034830,1.499607
84.759992,3.034438,1.499594
85.279959,3.034045,1.499607
85.799978,3.033658,1.499633
86.319989,3.033269,1.499646
86.839978,3.032880,1.499633
87.360005,3.032497,1.499620
87.879981,3.032109,1.499594
88.399977,3.031724,1.499620
88.919992,3.031342,1.499620
89.439964,3.030956,1.499633
89.960004,3.030580,1.499594
90.479993,3.030197,1.499646
90.999998,3.029820,1.499646
91.520008,3.029444,1.499620
92.039996,3.029066,1.499620
92.559995,3.028691,1.499607
93.079991,3.028318,1.499633
93.599982,3.027944,1.499646
94.120024,3.027571,1.499633
94.639972,3.027198,1.499633
95.159989,3.026825,1.499620
95.679976,3.026455,1.499620
96.199993,3.026086,1.499633
96.719993,3.025717,1.499633
97.239996,3.025353,1.499620
97.760002,3.024983,1.499607
98.279991,3.024620,1.499646
98.800000,3.024255,1.499633
99.320015,3.023890,1.499620
99.839994,3.023523,1.499633
100.359995,3.023160,1.499633
100.879997,3.022797,1.499607
101.399995,3.022433,1.499633
101.919998,3.022072,1.499607
102.439993,3.021711,1.499633
102.959992,3.021352,1.499620
103.479962,3.020988,1.499646
103.999963,3.020631,1.499607
104.519961,3.020272,1.499620
105.039981,3.019913,1.499646
105.559982,3.019557,1.499581
106.079997,3.019198,1.499607
106.599994,3.018845,1.499633
107.120000,3.018489,1.499646
107.640041,3.018131,1.499607
108.160001,3.017777,1.499607
108.679995,3.017422,1.499594
109.200004,3.017068,1.499633
109.719996,3.016715,1.499659
110.239995,3.016359,1.499607
110.760000,3.016005,1.499620
111.280001,3.015658,1.499646
111.799997,3.015303,1.499620
112.319996,3.014954,1.499620
112.839995,3.014607,1.499607
113.359994,3.014254,1.499633
113.879993,3.013907,1.499607
114.399996,3.013558,1.499607
114.919997,3.013209,1.499620
115.439996,3.012856,1.499646
115.960004,3.012510,1.499659
116.479976,3.012160,1.499633
116.999977,3.011814,1.499646
117.519979,3.011470,1.499646
118.039985,3.011123,1.499659
118.559991,3.010778,1.499581
119.079997,3.010430,1.499633
119.599993,3.010087,1.499659
120.119998,3.009744,1.499620
120.639995,3.009398,1.499620
121.160034,3.009053,1.499633
121.679998,3.008706,1.499633
122.200022,3.008370,1.499659
122.719996,3.008024,1.499607
123.239989,3.007678,1.499607
123.759995,3.007335,1.499633
124.279996,3.006990,1.499659
124.799996,3.006644,1.499646
125.319994,3.006308,1.499620
125.839999,3.005962,1.499633
126.360017,3.005621,1.499633
126.879991,3.005278,1.499659
127.399988,3.004935,1.499659
127.919997,3.004594,1.499659
128.439993,3.004250,1.499633
128.959999,3.003905,1.499633
129.479982,3.003563,1.499659
129.999973,3.003221,1.499659
130.519985,3.002880,1.499659
131.039965,3.002537,1.499633
131.559980,3.002194,1.499594
132.079966,3.001851,1.499659
132.599979,3.001513,1.499672
133.119976,3.001170,1.499659
133.639988,3.000832,1.499659
134.159991,3.000489,1.499607
134.679985,3.000153,1.499633
135.199990,2.999811,1.499659
135.719979,2.999471,1.499672
136.239977,2.999131,1.499620
136.759994,2.998791,1.499620
137.279979,2.998454,1.499646
137.800007,2.998116,1.499620
138.319997,2.997778,1.499646
138.839995,2.997440,1.499659
139.359990,2.997104,1.499633
139.879996,2.996768,1.499633
140.399993,2.996433,1.499620
140.920008,2.996095,1.499633
141.440003,2.995761,1.499646
141.960018,2.995424,1.499633
142.479992,2.995085,1.499646
142.999993,2.994750,1.499633
143.519997,2.994412,1.499633
144.039999,2.994075,1.499659
144.559997,2.993736,1.499620
145.079992,2.993400,1.499646
145.600005,2.993063,1.499672
146.119995,2.992726,1.499646
146.640001,2.992392,1.499659
147.159995,2.992057,1.499607
147.679996,2.991720,1.499685
148.199997,2.991387,1.499672
148.719995,2.991052,1.499672
149.240000,2.990716,1.499646
149.759993,2.990381,1.499659
150.279993,2.990043,1.499659
150.799990,2.989705,1.499685
151.319994,2.989373,1.499659
151.839994,2.989035,1.499620
152.359994,2.988693,1.499646
152.880006,2.988358,1.499685
153.399996,2.988020,1.499659
153.919997,2.987684,1.499581
154.439999,2.987347,1.499659
154.960003,2.987008,1.499672
155.479982,2.986670,1.499646
155.999972,2.986331,1.499646
156.519964,2.985990,1.499659
157.039979,2.985651,1.499646
157.559961,2.985311,1.499685
158.079972,2.984976,1.499659
158.599994,2.984635,1.499607
159.119984,2.984299,1.499633
159.639980,2.983962,1.499659
160.159983,2.983624,1.499672
160.680005,2.983284,1.499646
161.200058,2.982946,1.499646
161.719998,2.982611,1.499659
162.239995,2.982277,1.499659
162.760001,2.981937,1.499659
163.279994,2.981601,1.499633
163.799995,2.981261,1.499659
164.319994,2.980922,1.499685
164.839994,2.980585,1.499659
165.359992,2.980243,1.499659
165.879995,2.979901,1.499620
166.399997,2.979563,1.499659
166.919992,2.979224,1.499633
167.439996,2.978883,1.499646
167.959998,2.978543,1.499646
168.479992,2.978202,1.499659
168.999993,2.977865,1.499659
169.519997,2.977521,1.499646
170.039995,2.977182,1.499672
170.559998,2.976840,1.499699
171.079997,2.976497,1.499685
171.599993,2.976157,1.499581
172.119999,2.975814,1.499659
172.639996,2.975473,1.499659
173.159995,2.975131,1.499646
173.679994,2.974791,1.499646
174.199998,2.974444,1.499646
174.720038,2.974111,1.499672
175.239999,2.973770,1.499659
175.759997,2.973433,1.499633
176.280005,2.973097,1.499646
176.799995,2.972756,1.499659
177.319995,2.972417,1.499633
177.839996,2.972076,1.499633
178.359996,2.971739,1.499646
178.879994,2.971396,1.499685
179.399993,2.971054,1.499646
179.919995,2.970714,1.499646
180.439996,2.970373,1.499672
180.959992,2.970034,1.499659
181.479995,2.969688,1.499646
181.999997,2.969347,1.499620
182.519996,2.969005,1.499672
183.039994,2.968665,1.499685
183.559995,2.968323,1.499646
184.079996,2.967981,1.499646
184.599995,2.967638,1.499672
185.119997,2.967294,1.499659
185.640003,2.966955,1.499646
186.159996,2.966611,1.499646
186.679989,2.966270,1.499659
187.200015,2.965924,1.499659
187.719993,2.965582,1.499659
188.239996,2.965238,1.499659
188.759992,2.964893,1.499659
189.279997,2.964546,1.499685
189.799995,2.964202,1.499659
190.319995,2.963857,1.499659
190.839993,2.963510,1.499659
191.359996,2.963164,1.499672
191.879991,2.962820,1.499685
192.399998,2.962473,1.499633
192.919999,2.962126,1.499646
193.439997,2.961780,1.499659
193.960003,2.961434,1.499659
194.479981,2.961088,1.499685
194.999984,2.960745,1.499633
195.519963,2.960397,1.499659
196.039980,2.960048,1.499685
196.559996,2.959701,1.499672
197.079990,2.959358,1.499646
197.599996,2.959006,1.499646
198.120002,2.958656,1.499672
198.639997,2.958313,1.499699
199.159992,2.957963,1.499659
199.679998,2.957614,1.499633
200.200051,2.957267,1.499672
200.719991,2.956918,1.499659
201.239992,2.956571,1.499672
201.759963,2.956227,1.499685
202.280005,2.955881,1.499685
202.799983,2.955534,1.499646
203.320001,2.955188,1.499646
203.839995,2.954840,1.499672
204.359993,2.954495,1.499646
204.879992,2.954149,1.499685
205.399995,2.953802,1.499646
205.920001,2.953454,1.499646
206.439998,2.953103,1.499699
206.959999,2.952753,1.499672
207.480005,2.952409,1.499659
207.999995,2.952059,1.499620
208.519999,2.951708,1.499672
209.039992,2.951357,1.499685
209.559997,2.951008,1.499672
210.079992,2.950653,1.499672
210.599994,2.950303,1.499672
211.119996,2.949946,1.499672
211.639994,2.949592,1.499659
212.159996,2.949237,1.499672
212.680001,2.948880,1.499646
213.199999,2.948526,1.499699
213.719998,2.948170,1.499646
214.239994,2.947812,1.499672
214.760039,2.947459,1.499685
215.279993,2.947107,1.499672
215.799993,2.946751,1.499659
216.319995,2.946399,1.499685
216.839995,2.946036,1.499672
217.359995,2.945680,1.499633
217.879992,2.945324,1.499646
218.400005,2.944963,1.499685
218.920007,2.944604,1.499672
219.439995,2.944243,1.499659
219.959998,2.943882,1.499659
220.479997,2.943516,1.499659
220.999997,2.943155,1.499685
221.519995,2.942789,1.499672
222.039996,2.942422,1.499620
222.560000,2.942061,1.499659
223.079996,2.941692,1.499646
