time,voltage,current
0.000000,4.095017,1.000212
0.520006,4.081784,1.000252
1.040008,4.079678,1.000252
1.560007,4.078409,1.000239
2.079974,4.077358,1.000265
2.599976,4.076423,1.000199
3.119976,4.075565,1.000225
3.639973,4.074757,1.000225
4.159976,4.073995,1.000225
4.679988,4.073263,1.000225
5.199976,4.072565,1.000212
5.719975,4.071893,1.000212
6.239975,4.071239,1.000186
6.759974,4.070608,1.000225
7.279978,4.069995,1.000212
7.799973,4.069400,1.000212
8.319970,4.068813,1.000199
8.839974,4.068250,1.000212
9.359971,4.067696,1.000212
9.879975,4.067152,1.000239
10.399977,4.066618,1.000225
10.919972,4.066098,1.000199
11.440010,4.065590,1.000225
11.960007,4.065092,1.000239
12.480004,4.064598,1.000239
13.000008,4.064118,1.000212
13.520005,4.063644,1.000252
14.040007,4.063177,1.000239
14.560004,4.062718,1.000239
15.080008,4.062266,1.000265
15.600009,4.061826,1.000199
16.120009,4.061386,1.000252
16.640008,4.060959,1.000239
17.160011,4.060532,1.000225
17.680023,4.060118,1.000225
18.200011,4.059706,1.000225
18.720015,4.059303,1.000225
19.240009,4.058901,1.000212
19.760010,4.058507,1.000239
20.280011,4.058117,1.000212
20.800091,4.057731,1.000239
21.320007,4.057352,1.000239
21.840006,4.056981,1.000239
22.360010,4.056610,1.000225
22.880008,4.056242,1.000225
23.400011,4.055881,1.000225
23.920009,4.055525,1.000225
24.440032,4.055170,1.000239
24.960010,4.054828,1.000212
25.480002,4.054481,1.000239
26.000044,4.054142,1.000239
26.520009,4.053805,1.000212
27.040008,4.053471,1.000225
27.560007,4.053143,1.000225
28.080011,4.052814,1.000212
28.600008,4.052493,1.000212
29.120008,4.052174,1.000239
29.640004,4.051862,1.000239
30.160009,4.051547,1.000239
30.680028,4.051241,1.000239
31.200003,4.050933,1.000239
31.719999,4.050631,1.000212
32.239974,4.050329,1.000225
32.759979,4.050032,1.000212
33.279976,4.049738,1.000173
33.799972,4.049449,1.000239
34.319979,4.049157,1.000225
34.839977,4.048872,1.000212
35.359981,4.048587,1.000199
35.879976,4.048310,1.000225
36.399980,4.048028,1.000239
36.919973,4.047755,1.000212
37.439972,4.047481,1.000199
37.959972,4.047212,1.000186
38.479972,4.046945,1.000239
38.999972,4.046678,1.000239
39.519977,4.046413,1.000212
40.039973,4.046154,1.000225
40.559975,4.045894,1.000239
41.079977,4.045636,1.000212
41.599971,4.045381,1.000199
42.119972,4.045129,1.000186
42.639976,4.044881,1.000212
43.159975,4.044631,1.000225
43.679984,4.044386,1.000186
44.199975,4.044140,1.000212
44.719973,4.043900,1.000225
45.239976,4.043657,1.000199
45.759975,4.043417,1.000199
46.279976,4.043182,1.000173
46.799978,4.042947,1.000225
47.319974,4.042714,1.000212
47.839974,4.042483,1.000199
48.359977,4.042258,1.000212
48.879972,4.042025,1.000225
49.399984,4.041800,1.000212
49.919977,4.041575,1.000199
50.439977,4.041357,1.000225
50.959969,4.041135,1.000199
51.479975,4.040916,1.000199
51.999973,4.040696,1.000199
52.520001,4.040483,1.000212
53.039974,4.040266,1.000225
53.559974,4.040053,1.000199
54.079975,4.039842,1.000212
54.599975,4.039631,1.000239
55.119972,4.039425,1.000212
55.639973,4.039220,1.000186
56.159975,4.039012,1.000225
56.679986,4.038811,1.000173
57.199975,4.038608,1.000199
57.719975,4.038407,1.000225
58.239976,4.038207,1.000212
58.759975,4.038010,1.000199
59.279972,4.037810,1.000199
59.799973,4.037617,1.000239
60.319972,4.037424,1.000225
60.839976,4.037226,1.000239
61.359976,4.037034,1.000225
61.879976,4.036848,1.000199
62.399975,4.036659,1.000173
62.919975,4.036470,1.000239
63.439975,4.036282,1.000225
63.959973,4.036096,1.000160
64.479972,4.035914,1.000239
64.999975,4.035731,1.000225
65.519974,4.035549,1.000225
66.039997,4.035368,1.000186
66.559976,4.035189,1.000212
