time,voltage_drain,voltage_actual,current
39.425284,3.896269,,0.000000
39.425284,,4.118694,0.000000
81.277228,3.891395,,0.000000
81.277228,,4.113389,0.000000
123.125237,3.887237,,0.000000
123.125237,,4.108587,0.000000
164.933273,3.883438,,0.000000
164.933273,,4.104286,0.000000
206.785213,3.879854,,0.000000
206.785213,,4.099985,0.000000
248.649277,3.876342,,0.000000
248.649277,,4.096186,0.000000
290.505260,3.873188,,0.000000
290.505260,,4.092244,0.000000
332.353223,3.870034,,0.000000
332.353223,,4.088731,0.000000
374.217248,3.866808,,0.000000
374.217248,,4.085219,0.000000
416.073266,3.863798,,0.000000
416.073266,,4.081778,0.000000
457.933259,3.860715,,0.000000
457.933259,,4.078481,0.000000
499.757310,3.857490,,0.000000
499.757310,,4.075184,0.000000
541.593276,3.853834,,0.000000
541.593276,,4.071886,0.000000
583.444092,3.849390,,0.000000
583.444092,,4.068589,0.000000
625.293294,3.845877,,0.000000
625.293294,,4.065507,0.000000
667.133219,3.842938,,0.000000
667.133219,,4.062066,0.000000
709.013288,3.839641,,0.000000
709.013288,,4.058840,0.000000
750.840106,3.836487,,0.000000
750.840106,,4.055113,0.000000
792.621253,3.833333,,0.000000
792.621253,,4.052102,0.000000
834.433263,3.830108,,0.000000
834.433263,,4.048447,0.000000
876.281253,3.826882,,0.000000
876.281253,,4.045006,0.000000
918.097262,3.823513,,0.000000
918.097262,,4.041494,0.000000
959.939039,3.820144,,0.000000
959.939039,,4.037623,0.000000
1001.721251,3.816560,,0.000000
1001.721251,,4.034111,0.000000
1043.552092,3.813048,,0.000000
1043.552092,,4.030383,0.000000
1085.385316,3.809320,,0.000000
1085.385316,,4.026512,0.000000
1127.173293,3.805808,,0.000000
1127.173293,,4.022570,0.000000
1168.972072,3.802009,,0.000000
1168.972072,,4.018628,0.000000
1210.793267,3.798210,,0.000000
1210.793267,,4.014542,0.000000
1252.645258,3.794482,,0.000000
1252.645258,,4.010743,0.000000
1294.485310,3.790612,,0.000000
1294.485310,,4.006657,0.000000
1336.293232,3.786813,,0.000000
1336.293232,,4.002571,0.000000
1378.149262,3.782870,,0.000000
1378.149262,,3.998485,0.000000
1420.001251,3.778856,,0.000000
1420.001251,,3.994543,0.000000
1461.865266,3.774842,,0.000000
1461.865266,,3.990314,0.000000
1503.701327,3.771115,,0.000000
1503.701327,,3.986300,0.000000
1545.549269,3.767029,,0.000000
1545.549269,,3.981999,0.000000
1587.357260,3.763086,,0.000000
1587.357260,,3.977985,0.000000
1629.205281,3.759072,,0.000000
1629.205281,,3.974042,0.000000
1671.073290,3.755345,,0.000000
1671.073290,,3.969885,0.000000
1712.933222,3.751331,,0.000000
1712.933222,,3.965942,0.000000
1754.773238,3.747317,,0.000000
1754.773238,,3.961928,0.000000
1796.608093,3.743446,,0.000000
1796.608093,,3.957628,0.000000
1838.421248,3.739504,,0.000000
1838.421248,,3.953685,0.000000
1880.245239,3.735633,,0.000000
1880.245239,,3.949886,0.000000
1922.089281,3.731977,,0.000000
1922.089281,,3.945943,0.000000
1963.925238,3.728035,,0.000000
1963.925238,,3.942216,0.000000
2005.765268,3.724235,,0.000000
2005.765268,,3.938130,0.000000
2047.545247,3.720580,,0.000000
2047.545247,,3.934475,0.000000
2089.357231,3.716924,,0.000000
