time,voltage_drain,voltage_actual,current
37.381302,3.902147,,0.000000
37.381302,,4.141416,0.000000
79.193207,3.891108,,0.000000
79.193207,,4.130091,0.000000
121.037246,3.884012,,0.000000
121.037246,,4.122206,0.000000
162.893224,3.878779,,0.000000
162.893224,,4.115898,0.000000
204.748069,3.874048,,0.000000
204.748069,,4.110665,0.000000
246.537258,3.870177,,0.000000
246.537258,,4.105576,0.000000
288.353218,3.866522,,0.000000
288.353218,,4.101204,0.000000
330.177246,3.862937,,0.000000
330.177246,,4.097046,0.000000
372.001219,3.859568,,0.000000
372.001219,,4.093104,0.000000
413.856063,3.856486,,0.000000
413.856063,,4.089233,0.000000
455.687994,3.853332,,0.000000
455.687994,,4.085219,0.000000
497.469251,3.850250,,0.000000
497.469251,,4.081563,0.000000
539.309206,3.847383,,0.000000
539.309206,,4.078266,0.000000
581.165197,3.844444,,0.000000
581.165197,,4.074753,0.000000
622.989210,3.841362,,0.000000
622.989210,,4.071528,0.000000
664.840039,3.838566,,0.000000
664.840039,,4.068302,0.000000
706.664043,3.835771,,0.000000
706.664043,,4.064790,0.000000
748.513256,3.832545,,0.000000
748.513256,,4.061493,0.000000
790.353205,3.829678,,0.000000
790.353205,,4.058052,0.000000
832.225217,3.826595,,0.000000
832.225217,,4.054755,0.000000
874.069207,3.823513,,0.000000
874.069207,,4.051242,0.000000
915.937216,3.820431,,0.000000
915.937216,,4.047873,0.000000
958.497214,3.817492,,0.000000
958.497214,,4.044504,0.000000
1000.373179,3.814123,,0.000000
1000.373179,,4.040777,0.000000
1042.229205,3.810611,,0.000000
1042.229205,,4.037121,0.000000
1084.085232,3.807242,,0.000000
1084.085232,,4.033466,0.000000
1125.925145,3.803586,,0.000000
1125.925145,,4.029595,0.000000
1167.781261,3.800074,,0.000000
1167.781261,,4.025796,0.000000
1209.649253,3.796633,,0.000000
1209.649253,,4.021782,0.000000
1251.505210,3.792762,,0.000000
1251.505210,,4.017911,0.000000
1293.329210,3.788891,,0.000000
1293.329210,,4.013968,0.000000
1335.185228,3.785236,,0.000000
1335.185228,,4.009883,0.000000
1376.989192,3.781437,,0.000000
1376.989192,,4.005869,0.000000
1418.861199,3.777423,,0.000000
1418.861199,,4.001854,0.000000
1460.696064,3.773552,,0.000000
1460.696064,,3.997553,0.000000
1502.569202,3.769824,,0.000000
1502.569202,,3.993468,0.000000
1544.413187,3.765595,,0.000000
1544.413187,,3.989382,0.000000
1586.273402,3.761581,,0.000000
1586.273402,,3.985225,0.000000
1628.129167,3.757710,,0.000000
1628.129167,,3.981139,0.000000
1669.985233,3.753625,,0.000000
1669.985233,,3.977125,0.000000
1711.835137,3.749539,,0.000000
1711.835137,,3.972824,0.000000
1753.693186,3.745740,,0.000000
1753.693186,,3.968738,0.000000
1795.549155,3.741726,,0.000000
1795.549155,,3.964724,0.000000
1837.381190,3.737783,,0.000000
1837.381190,,3.960423,0.000000
1879.253194,3.733841,,0.000000
1879.253194,,3.956337,0.000000
1921.109232,3.729827,,0.000000
1921.109232,,3.952466,0.000000
1962.961177,3.725812,,0.000000
1962.961177,,3.948381,0.000000
2004.809200,3.722085,,0.000000
2004.809200,,3.944151,0.000000
2046.641214,3.718286,,0.000000
2046.641214,,3.940281,0.000000
2088.496024,3.714272,,0.000000
2088.496024,,3.936482,0.000000
2130.345181,3.710616,,0.000000
2130.345181,,3.932468,0.000000
2172.201182,3.706889,,0.000000
2172.201182,,3.928740,0.000000
2214.053191,3.703305,,0.000000
2214.053191,,3.924726,0.000000
2255.909205,3.699506,,0.000000
2255.909205,,3.921142,0.000000
2297.761209,3.695922,,0.000000
2297.761209,,3.917486,0.000000
2339.609182,3.692481,,0.000000
2339.609182,,3.913902,0.000000
2381.417238,3.688969,,0.000000
2381.417238,,3.910247,0.000000
2423.241190,3.685385,,0.000000
2423.241190,,3.906519,0.000000
2465.073205,3.681872,,0.000000
2465.073205,,3.903150,0.000000
2506.933194,3.678503,,0.000000
2506.933194,,3.899638,0.000000
2548.761185,3.674991,,0.000000
2548.761185,,3.896484,0.000000
2590.585210,3.671765,,0.000000
2590.585210,,3.893115,0.000000
2632.453202,3.668540,,0.000000
2632.453202,,3.889603,0.000000
2674.305189,3.665386,,0.000000
2674.305189,,3.886377,0.000000
2716.161215,3.662160,,0.000000
2716.161215,,3.883151,0.000000
2758.021227,3.659006,,0.000000
2758.021227,,3.879997,0.000000
2799.865159,3.655781,,0.000000
2799.865159,,3.876700,0.000000
2841.717194,3.652770,,0.000000
2841.717194,,3.873474,0.000000
2883.569219,3.649759,,0.000000
2883.569219,,3.870321,0.000000
2925.409210,3.646606,,0.000000
2925.409210,,3.867525,0.000000
2967.241199,3.643667,,0.000000
2967.241199,,3.864443,0.000000
3009.073187,3.640728,,0.000000
3009.073187,,3.861289,0.000000
3050.933183,3.637789,,0.000000
3050.933183,,3.858421,0.000000
3092.785186,3.634921,,0.000000
3092.785186,,3.855411,0.000000
3134.633196,3.631911,,0.000000
3134.633196,,3.852400,0.000000
3176.513193,3.628972,,0.000000
3176.513193,,3.849605,0.000000
3218.361178,3.626177,,0.000000
3218.361178,,3.846451,0.000000
3260.221183,3.623309,,0.000000
3260.221183,,3.843870,0.000000
3302.073211,3.620442,,0.000000
3302.073211,,3.840860,0.000000
3343.905207,3.617647,,0.000000
3343.905207,,3.837993,0.000000
3385.713189,3.614636,,0.000000
3385.713189,,3.834910,0.000000
3427.557206,3.612127,,0.000000
3427.557206,,3.832187,0.000000
3469.365228,3.609116,,0.000000
3469.365228,,3.829176,0.000000
3511.205163,3.606321,,0.000000
3511.205163,,3.826452,0.000000
3553.061191,3.603740,,0.000000
3553.061191,,3.823370,0.000000
3594.885203,3.600730,,0.000000
3594.885203,,3.820789,0.000000
3636.693135,3.597934,,0.000000
3636.693135,,3.817635,0.000000
3678.513154,3.595067,,0.000000
3678.513154,,3.815055,0.000000
3720.356050,3.592200,,0.000000
3720.356050,,3.812044,0.000000
3762.213138,3.589189,,0.000000
3762.213138,,3.809105,0.000000
3804.073157,3.586537,,0.000000
3804.073157,,3.806166,0.000000
3845.917164,3.583670,,0.000000
3845.917164,,3.803228,0.000000
3887.785166,3.580659,,0.000000
3887.785166,,3.800360,0.000000
3929.637193,3.577720,,0.000000
3929.637193,,3.797350,0.000000
3971.493204,3.574997,,0.000000
3971.493204,,3.794196,0.000000
4013.317192,3.572058,,0.000000
4013.317192,,3.791687,0.000000
4055.145193,3.569119,,0.000000
4055.145193,,3.788533,0.000000
4096.996005,3.567255,,0.000000
4096.996005,,3.785738,0.000000
4138.849167,3.564388,,0.000000
4138.849167,,3.782512,0.000000
4180.705154,3.561521,,0.000000
4180.705154,,3.779501,0.000000
4222.525157,3.558367,,0.000000
4222.525157,,3.776562,0.000000
4264.337193,3.555499,,0.000000
4264.337193,,3.773552,0.000000
4306.177281,3.552489,,0.000000
4306.177281,,3.770469,0.000000
4347.989206,3.549478,,0.000000
4347.989206,,3.767387,0.000000
4389.825218,3.546611,,0.000000
4389.825218,,3.764377,0.000000
4431.645217,3.543457,,0.000000
4431.645217,,3.761151,0.000000
4473.513161,3.540375,,0.000000
4473.513161,,3.758140,0.000000
4515.369167,3.537579,,0.000000
4515.369167,,3.755058,0.000000
4557.221252,3.534425,,0.000000
4557.221252,,3.751832,0.000000
4599.076049,3.531487,,0.000000
4599.076049,,3.748750,0.000000
4640.913247,3.528404,,0.000000
4640.913247,,3.745668,0.000000
4682.785200,3.525179,,0.000000
4682.785200,,3.742514,0.000000
4724.624050,3.522096,,0.000000
4724.624050,,3.739504,0.000000
4766.493171,3.519014,,0.000000
4766.493171,,3.736278,0.000000
4808.336044,3.515932,,0.000000
4808.336044,,3.733196,0.000000
4850.201181,3.512634,,0.000000
4850.201181,,3.730185,0.000000
4892.057178,3.509696,,0.000000
4892.057178,,3.726888,0.000000
4934.185211,3.506613,,0.000000
4934.185211,,3.723734,0.000000
4976.049169,3.503531,,0.000000
4976.049169,,3.720723,0.000000
5017.917164,3.500449,,0.000000
5017.917164,,3.717426,0.000000
5059.773193,3.497223,,0.000000
5059.773193,,3.714487,0.000000
5101.613174,3.494141,,0.000000
5101.613174,,3.711190,0.000000
5143.477173,3.491274,,0.000000
5143.477173,,3.708251,0.000000
5185.333215,3.488048,,0.000000
5185.333215,,3.705097,0.000000
5227.157166,3.484822,,0.000000
5227.157166,,3.701943,0.000000
5268.937275,3.481955,,0.000000
5268.937275,,3.699004,0.000000
5310.749241,3.478945,,0.000000
5310.749241,,3.695707,0.000000
5352.605213,3.475719,,0.000000
5352.605213,,3.692839,0.000000
5394.457161,3.472995,,0.000000
5394.457161,,3.689829,0.000000
5436.308055,3.469841,,0.000000
5436.308055,,3.686747,0.000000
5478.117201,3.466974,,0.000000
5478.117201,,3.683664,0.000000
5519.961254,3.463963,,0.000000
5519.961254,,3.680654,0.000000
5561.805247,3.460953,,0.000000
5561.805247,,3.677786,0.000000
5603.621207,3.458014,,0.000000
5603.621207,,3.674848,0.000000
5645.449282,3.455075,,0.000000
5645.449282,,3.672052,0.000000
5687.244072,3.452279,,0.000000
5687.244072,,3.669113,0.000000
5729.057213,3.449341,,0.000000
5729.057213,,3.666246,0.000000
5770.893239,3.446545,,0.000000
5770.893239,,3.663450,0.000000
5812.689249,3.443750,,0.000000
5812.689249,,3.660512,0.000000
5854.569213,3.441026,,0.000000
5854.569213,,3.657716,0.000000
5896.421257,3.438445,,0.000000
5896.421257,,3.655207,0.000000
5938.272530,3.435578,,0.000000
5938.272530,,3.652412,0.000000
5980.113232,3.432782,,0.000000
5980.113232,,3.649616,0.000000
6021.985219,3.430274,,0.000000
6021.985219,,3.647107,0.000000
6063.825268,3.427550,,0.000000
6063.825268,,3.644455,0.000000
6105.693200,3.425041,,0.000000
6105.693200,,3.642018,0.000000
6147.536036,3.422532,,0.000000
6147.536036,,3.639366,0.000000
6189.401218,3.420023,,0.000000
6189.401218,,3.636785,0.000000
6231.244047,3.417299,,0.000000
6231.244047,,3.634348,0.000000
6273.105284,3.414934,,0.000000
6273.105284,,3.631839,0.000000
6314.961200,3.412282,,0.000000
6314.961200,,3.629545,0.000000
6356.813237,3.409916,,0.000000
6356.813237,,3.627037,0.000000
6398.625269,3.407622,,0.000000
6398.625269,,3.624528,0.000000
6440.477217,3.405257,,0.000000
6440.477217,,3.622162,0.000000
6482.332084,3.402963,,0.000000
6482.332084,,3.620012,0.000000
6524.193174,3.400741,,0.000000
6524.193174,,3.617575,0.000000
6566.025141,3.398232,,0.000000
6566.025141,,3.615209,0.000000
6607.909199,3.395939,,0.000000
6607.909199,,3.612916,0.000000
6649.765173,3.393573,,0.000000
6649.765173,,3.610837,0.000000
6691.617189,3.391494,,0.000000
6691.617189,,3.608400,0.000000
6733.473195,3.389344,,0.000000
6733.473195,,3.606321,0.000000
6775.329193,3.386979,,0.000000
6775.329193,,3.604099,0.000000
6817.185173,3.384828,,0.000000
6817.185173,,3.602020,0.000000
6859.017182,3.382749,,0.000000
6859.017182,,3.599726,0.000000
6900.897206,3.380599,,0.000000
6900.897206,,3.597576,0.000000
6942.737162,3.378449,,0.000000
6942.737162,,3.595641,0.000000
6984.608056,3.376298,,0.000000
6984.608056,,3.593562,0.000000
7026.444083,3.374219,,0.000000
7026.444083,,3.591340,0.000000
7068.321227,3.372069,,0.000000
7068.321227,,3.589118,0.000000
7110.137185,3.369918,,0.000000
7110.137185,,3.587469,0.000000
7151.969182,3.367983,,0.000000
7151.969182,,3.585390,0.000000
7193.821194,3.365976,,0.000000
7193.821194,,3.583312,0.000000
7235.677188,3.363897,,0.000000
7235.677188,,3.581233,0.000000
7277.529198,3.361890,,0.000000
7277.529198,,3.579297,0.000000
7319.381189,3.359740,,0.000000
7319.381189,,3.577362,0.000000
7361.237178,3.357804,,0.000000
7361.237178,,3.575212,0.000000
7403.077272,3.355797,,0.000000
7403.077272,,3.573205,0.000000
7444.937220,3.353575,,0.000000
7444.937220,,3.571269,0.000000
7486.797164,3.351927,,0.000000
7486.797164,,3.569262,0.000000
7528.653167,3.349848,,0.000000
7528.653167,,3.567398,0.000000
7570.477223,3.347913,,0.000000
7570.477223,,3.565176,0.000000
7612.277210,3.345619,,0.000000
7612.277210,,3.563313,0.000000
7654.129199,3.343827,,0.000000
7654.129199,,3.561521,0.000000
7695.913190,3.341748,,0.000000
7695.913190,,3.559442,0.000000
7737.721217,3.339813,,0.000000
7737.721217,,3.557578,0.000000
7779.537159,3.337806,,0.000000
7779.537159,,3.555643,0.000000
7821.381260,3.335799,,0.000000
7821.381260,,3.553636,0.000000
7863.237207,3.333935,,0.000000
7863.237207,,3.551700,0.000000
7905.073186,3.331928,,0.000000
7905.073186,,3.549765,0.000000
7946.889175,3.329921,,0.000000
7946.889175,,3.547758,0.000000
7988.757249,3.327985,,0.000000
7988.757249,,3.545894,0.000000
8030.613218,3.325978,,0.000000
8030.613218,,3.543959,0.000000
8072.461197,3.323900,,0.000000
8072.461197,,3.541880,0.000000
8114.321167,3.322036,,0.000000
8114.321167,,3.540017,0.000000
8156.176070,3.319885,,0.000000
8156.176070,,3.538009,0.000000
8198.025310,3.317807,,0.000000
8198.025310,,3.536146,0.000000
8239.881176,3.315871,,0.000000
8239.881176,,3.534067,0.000000
8281.737221,3.313864,,0.000000
8281.737221,,3.532060,0.000000
