total_wh, voltage_actual
0.000000,4.141416
0.045205,4.130091
0.090363,4.122206
0.135472,4.115898
0.180525,4.110665
0.225463,4.105576
0.270387,4.101204
0.315278,4.097046
0.360130,4.093104
0.404979,4.089233
0.449766,4.085219
0.494464,4.081563
0.539191,4.078266
0.583901,4.074753
0.628542,4.071528
0.673178,4.068302
0.717753,4.064790
0.762318,4.061493
0.806839,4.058052
0.851359,4.054755
0.895813,4.051242
0.940256,4.047873
0.985400,4.044504
1.029779,4.040777
1.074095,4.037121
1.118373,4.033466
1.162591,4.029595
1.206785,4.025796
1.250952,4.021782
1.295061,4.017911
1.339092,4.013968
1.383113,4.009883
1.427036,4.005869
1.470984,4.001854
1.514847,3.997553
1.558707,3.993468
1.602488,3.989382
1.646239,3.985225
1.689940,3.981139
1.733594,3.977125
1.777194,3.972824
1.820759,3.968738
1.864274,3.964724
1.907719,3.960423
1.951160,3.956337
1.994537,3.952466
2.037863,3.948381
2.081142,3.944151
2.124360,3.940281
2.167555,3.936482
2.210702,3.932468
2.253813,3.928740
2.296877,3.924726
2.339902,3.921142
2.382881,3.917486
2.425815,3.913902
2.468668,3.910247
2.511496,3.906519
2.554291,3.903150
2.597075,3.899638
2.639786,3.896484
2.682455,3.893115
2.725132,3.889603
2.767756,3.886377
2.810346,3.883151
2.852904,3.879997
2.895408,3.876700
2.937885,3.873474
2.980327,3.870321
3.022720,3.867525
3.065071,3.864443
3.107387,3.861289
3.149698,3.858421
3.191968,3.855411
3.234198,3.852400
3.276426,3.849605
3.318590,3.846451
3.360733,3.843870
3.402834,3.840860
3.444882,3.837993
3.486872,3.834910
3.528868,3.832187
3.570793,3.829176
3.612718,3.826452
3.654629,3.823370
3.696473,3.820789
3.738268,3.817635
3.780042,3.815055
3.821805,3.812044
3.863548,3.809105
3.905263,3.806166
3.946928,3.803228
3.988583,3.800360
4.030187,3.797350
4.071764,3.794196
4.113274,3.791687
4.154755,3.788533
4.196236,3.785738
4.237686,3.782512
4.279106,3.779501
4.320454,3.776562
4.361760,3.773552
4.403059,3.770469
4.444296,3.767387
4.485522,3.764377
4.526697,3.761151
4.567882,3.758140
4.609024,3.755058
4.650125,3.751832
4.691194,3.748750
4.732210,3.745668
4.773223,3.742514
4.814168,3.739504
4.855106,3.736278
4.895983,3.733196
4.936843,3.730185
4.977660,3.726888
5.018707,3.723734
5.059460,3.720723
5.100181,3.717426
5.140853,3.714487
5.181474,3.711190
5.222084,3.708251
5.262650,3.705097
5.303147,3.701943
5.343568,3.699004
5.383985,3.695707
5.424407,3.692839
5.464793,3.689829
5.505142,3.686747
5.545417,3.683664
5.585691,3.680654
5.625929,3.677786
5.666107,3.674848
5.706262,3.672052
5.746353,3.669113
5.786427,3.666246
5.826490,3.663450
5.866483,3.660512
5.906525,3.657716
5.946509,3.655207
5.986460,3.652412
6.026368,3.649616
6.066277,3.647107
6.106123,3.644455
6.145967,3.642018
6.185758,3.639366
6.225541,3.636785
6.265271,3.634348
6.304991,3.631839
6.344675,3.629545
6.384328,3.627037
6.423917,3.624528
6.463515,3.622162
6.503090,3.620012
6.542645,3.617575
6.582143,3.615209
6.621664,3.612916
6.661130,3.610837
6.700569,3.608400
6.739986,3.606321
6.779376,3.604099
6.818741,3.602020
6.858060,3.599726
6.897398,3.597576
6.936674,3.595641
6.975953,3.593562
7.015176,3.591340
7.054412,3.589118
7.093566,3.587469
7.132713,3.585390
7.171855,3.583312
7.210977,3.581233
7.250071,3.579297
7.289140,3.577362
7.328191,3.575212
7.367204,3.573205
7.406209,3.571269
7.445195,3.569262
7.484153,3.567398
7.523059,3.565176
7.561916,3.563313
7.600800,3.561521
7.639597,3.559442
7.678394,3.557578
7.717175,3.555643
7.755959,3.553636
7.794732,3.551700
7.833463,3.549765
7.872152,3.547758
7.910867,3.545894
7.949548,3.543959
7.988197,3.541880
8.026835,3.540017
8.065444,3.538009
8.104023,3.536146
8.142586,3.534067
8.181125,3.532060
8.219622,3.530125
8.258122,3.528046
8.296597,3.526110
8.335034,3.523960
8.373448,3.521881
8.411818,3.519946
8.450183,3.517652
8.488513,3.515717
8.526814,3.513566
8.565105,3.511416
8.603373,3.509409
8.641610,3.507115
8.679827,3.504893
8.718016,3.502599
8.756175,3.500592
8.794311,3.498227
8.832419,3.495933
8.870484,3.493711
8.908546,3.491489
8.946569,3.489052
8.984543,3.486758
9.022512,3.484249
9.060457,3.481669
9.098336,3.479375
9.136199,3.476866
9.174018,3.474357
9.211815,3.471920
9.249609,3.469268
9.287358,3.466687
9.325068,3.464107
9.362743,3.461455
9.400394,3.458587
9.438000,3.455935
9.475582,3.453211
9.513097,3.450416
9.550558,3.447405
9.588018,3.444681
9.625407,3.441671
9.662792,3.438732
9.700107,3.435793
9.737415,3.432711
9.774670,3.429772
9.811864,3.426761
9.849044,3.423679
9.886193,3.420382
9.923307,3.417299
9.960377,3.414002
9.997400,3.410992
10.034363,3.407694
10.071313,3.404182
10.108194,3.400885
10.145039,3.397444
10.181816,3.394003
10.218551,3.390347
10.255259,3.386979
10.291894,3.383251
10.328472,3.379810
10.364961,3.376155
10.401425,3.372356
10.437841,3.368628
10.474194,3.364542
10.510487,3.360743
10.546736,3.356873
10.582908,3.352787
10.619000,3.348773
10.655063,3.344472
10.691040,3.340314
10.726948,3.335727
10.762768,3.331426
10.798561,3.326910
10.834257,3.322179
10.869878,3.317377
10.905394,3.312216
10.940870,3.307341
10.976227,3.301607
11.011483,3.296661
11.046658,3.290783
11.081767,3.284905
11.116767,3.278669
11.151663,3.271860
11.186427,3.263473
11.221063,3.255803
11.255598,3.248993
11.289989,3.239173
11.324261,3.228278
11.358395,3.217311
11.392399,3.205842
11.426242,3.193083
11.459920,3.179678
11.493403,3.167779
11.526684,3.151866
11.559805,3.132512
11.592692,3.114162
11.625340,3.097819
