time,voltage,current
0.000000,4.063853,0.000000
0.519977,4.039181,0.000013
1.039988,4.033642,0.000000
1.559982,4.030208,0.000000
2.079980,4.027337,0.000026
2.599977,4.024785,-0.000013
3.119993,4.022394,0.000000
3.640005,4.020075,0.000000
4.159996,4.017528,-0.000013
4.679996,4.015570,-0.000013
5.199991,4.013704,-0.000013
5.719995,4.011241,0.000026
6.239993,4.009491,-0.000013
6.759995,4.007784,0.000000
7.279997,4.006242,0.000013
7.800002,4.004239,0.000026
8.319992,4.003017,-0.000013
8.839995,4.001016,-0.000013
9.359990,3.999586,0.000000
9.879996,3.998209,-0.000013
10.399995,3.996835,0.000000
10.919995,3.994877,0.000000
11.440012,3.993549,-0.000013
11.959994,3.992282,-0.000013
12.480032,3.991050,0.000000
12.999995,3.989847,0.000026
13.519995,3.988669,-0.000013
14.039995,3.986858,0.000013
14.559993,3.985716,0.000000
15.079995,3.984614,-0.000026
15.599994,3.983512,0.000013
16.119994,3.982440,0.000013
16.639994,3.981391,0.000000
17.159994,3.979609,0.000000
17.679998,3.979311,0.000013
18.199998,3.978298,-0.000013
18.719992,3.976625,-0.000013
19.240008,3.975641,-0.000026
19.759996,3.974647,0.000000
20.279992,3.973412,0.000013
20.799994,3.972225,0.000000
21.319995,3.971870,-0.000013
21.839995,3.970369,0.000000
22.359995,3.969473,0.000000
22.879994,3.968603,0.000000
23.399996,3.967742,-0.000013
23.919997,3.966900,-0.000013
24.440052,3.966068,0.000000
24.959997,3.965250,-0.000026
25.479986,3.964440,-0.000013
25.999991,3.963645,-0.000013
26.519999,3.962856,-0.000026
27.040000,3.962081,0.000000
27.559978,3.961318,-0.000013
28.079996,3.960564,-0.000013
28.599990,3.959817,0.000000
29.119977,3.959081,-0.000013
29.639982,3.958352,0.000000
30.159980,3.957635,0.000000
30.679988,3.956921,-0.000013
31.199967,3.955561,-0.000013
31.719976,3.955508,0.000013
32.239976,3.954134,-0.000013
32.759988,3.953441,0.000013
33.279990,3.952768,-0.000013
33.799978,3.952098,-0.000013
34.319990,3.951867,-0.000013
34.839992,3.950387,-0.000013
35.359982,3.950145,0.000013
35.879984,3.949508,0.000000
36.399961,3.948548,0.000013
36.919979,3.948198,0.000000
37.439994,3.947620,0.000013
37.960003,3.946652,0.000013
38.480000,3.946368,0.000000
39.000054,3.945063,0.000013
39.519990,3.944820,0.000013
40.039990,3.943876,0.000000
40.559995,3.943287,0.000013
41.079985,3.942707,0.000013
41.599989,3.942134,0.000013
42.119986,3.941566,-0.000013
42.639992,3.941005,0.000000
43.159981,3.940447,0.000013
43.679960,3.939379,0.000000
44.199994,3.939062,-0.000013
44.719994,3.938138,0.000000
45.239996,3.937595,0.000013
45.759996,3.937318,-0.000013
46.279999,3.936530,0.000013
46.799981,3.936014,-0.000013
47.319991,3.935481,0.000000
47.839990,3.934966,0.000000
48.359993,3.934454,0.000000
48.879995,3.933948,-0.000013
49.400000,3.933075,0.000000
49.920000,3.932941,0.000000
50.440003,3.932452,-0.000013
50.959994,3.931964,0.000000
51.479995,3.931466,-0.000013
52.000034,3.930998,0.000000
52.519999,3.930253,0.000000
53.039993,3.929550,0.000000
53.559999,3.929334,0.000013
54.079999,3.928759,-0.000039
54.599992,3.928002,0.000000
55.119984,3.927541,0.000013
55.639982,3.927074,0.000000
56.159978,3.926619,-0.000013
56.679977,3.926166,0.000000
57.199964,3.925719,0.000000
57.719963,3.925277,0.000000
58.239978,3.924837,0.000000
58.759986,3.924403,0.000026
59.279980,3.923967,-0.000013
59.799978,3.923541,0.000000
60.319991,3.923114,0.000000
60.839993,3.922690,0.000000
61.359994,3.922273,0.000013
61.879996,3.921854,0.000013
62.399959,3.921434,0.000013
62.919983,3.920879,-0.000026
63.439995,3.919890,-0.000013
63.959962,3.919501,-0.000013
64.479964,3.919076,0.000000
65.000074,3.918948,0.000000
65.519997,3.918278,-0.000013
66.039973,3.918361,0.000000
66.559974,3.917481,0.000000
67.079976,3.917087,0.000013
67.599979,3.916698,-0.000026
68.119978,3.916309,-0.000013
68.639986,3.915922,-0.000013
69.159966,3.915544,0.000000
69.680111,3.915168,0.000000
70.199983,3.914795,0.000013
70.719992,3.914420,-0.000013
71.239984,3.914048,0.000013
71.759991,3.913384,0.000000
72.279982,3.913245,0.000000
72.799969,3.912946,-0.000013
73.319988,3.912586,0.000013
73.839975,3.912066,0.000013
74.359996,3.911872,-0.000026
74.879994,3.910879,0.000000
75.399982,3.910497,-0.000013
75.919962,3.910595,-0.000013
76.439981,3.909790,0.000013
76.959972,3.909456,0.000013
77.479964,3.909093,0.000000
77.999970,3.908745,0.000026
78.520017,3.908402,0.000000
79.039991,3.908063,-0.000013
79.559981,3.907724,0.000013
80.079977,3.907386,0.000000
80.599978,3.907057,0.000000
81.119983,3.906723,-0.000013
81.639963,3.906389,-0.000013
82.159997,3.906062,-0.000026
82.679993,3.905737,-0.000026
83.199998,3.905412,0.000000
83.719986,3.905087,0.000000
84.239999,3.904763,0.000000
84.760000,3.904444,0.000000
85.279995,3.904126,0.000013
85.799999,3.903809,-0.000013
86.319986,3.903500,0.000000
86.839986,3.903181,0.000013
87.359980,3.902873,0.000013
87.879962,3.902564,0.000000
88.399982,3.902257,-0.000013
88.919993,3.901952,0.000000
89.439990,3.901646,0.000013
89.959975,3.901345,-0.000013
90.479976,3.901047,0.000026
90.999980,3.900750,0.000013
91.520029,3.900452,-0.000026
92.039991,3.900158,0.000000
92.560034,3.899863,0.000000
93.079974,3.899575,0.000000
93.599996,3.899281,0.000013
94.119990,3.898992,-0.000013
94.639962,3.898703,0.000013
95.159985,3.898419,0.000000
95.679984,3.898135,0.000000
96.200003,3.897852,0.000000
96.720003,3.897569,0.000013
97.239999,3.897289,-0.000013
97.759995,3.897009,0.000000
98.279995,3.896431,-0.000013
98.799997,3.896451,0.000000
99.319989,3.896176,0.000013
99.839996,3.895219,0.000000
100.359999,3.895413,-0.000013
100.879992,3.895147,-0.000013
101.399990,3.895075,-0.000013
101.919996,3.894771,-0.000013
