seconds,	voltage
379.945851,	143.566800	
381.355850,	143.563960	
382.765854,	143.561120	
384.175852,	143.558400	
385.585845,	143.555560	
386.995837,	143.552850	
388.405843,	143.550000	
389.815848,	143.547160	
391.225836,	143.544190	
392.635840,	143.541600	
394.045834,	143.538760	
395.455844,	143.536180	
396.865834,	143.533330	
398.275838,	143.530360	
399.685846,	143.527910	
401.095845,	143.524680	
402.505851,	143.522220	
403.915843,	143.519120	
405.325849,	143.516530	
406.735850,	143.513690	
408.145850,	143.511110	
409.555851,	143.508010	
410.965848,	143.505420	
412.375852,	143.502840	
413.785849,	143.499990	
415.195848,	143.497280	
416.605849,	143.494570	
418.015845,	143.491720	
419.425850,	143.489140	
420.835845,	143.486420	
422.245845,	143.483840	
423.655844,	143.480610	
425.065846,	143.478410	
426.475851,	143.475310	
427.885849,	143.472730	
429.295846,	143.470140	
430.705854,	143.467690	
432.115845,	143.464720	
433.525849,	143.462390	
434.935849,	143.459550	
436.345848,	143.456960	
437.755853,	143.454120	
439.165850,	143.451410	
440.575849,	143.448560	
441.985852,	143.445850	
443.395844,	143.443520	
444.805850,	143.440810	
446.215845,	143.438220	
447.625846,	143.435510	
449.035845,	143.432930	
450.445850,	143.430210	
451.855852,	143.427500	
453.265851,	143.424910	
454.675845,	143.422200	
456.085844,	143.419750	
457.495851,	143.416640	
458.905851,	143.414320	
460.315846,	143.411860	
461.725846,	143.409150	
463.135848,	143.406560	
464.545845,	143.403980	
465.955853,	143.401400	
467.365843,	143.398550	
468.775848,	143.396360	
470.185847,	143.393250	
471.595852,	143.390930	
473.005846,	143.388090	
474.415848,	143.385760	
475.825845,	143.383430	
477.235852,	143.380720	
478.645850,	143.378010	
480.055844,	143.375680	
481.465844,	143.372710	
482.875841,	143.370250	
484.285850,	143.366630	
485.695851,	143.364700	
487.105868,	143.362240	
488.515845,	143.359790	
489.925847,	143.356940	
491.335854,	143.354620	
492.745850,	143.352420	
494.155851,	143.349710	
495.565848,	143.347250	
496.975846,	143.344800	
498.385858,	143.342340	
499.795851,	143.339760	
501.205844,	143.337560	
502.615844,	143.334970	
504.025851,	143.332260	
505.435850,	143.329810	
506.845845,	143.327220	
508.255844,	143.324250	
509.665854,	143.322180	
511.075851,	143.319730	
512.485844,	143.317010	
513.895840,	143.314430	
515.305844,	143.312100	
516.715845,	143.309780	
518.125832,	143.307320	
519.535840,	143.304740	
520.945845,	143.302410	
522.355843,	143.299570	
523.765842,	143.297110	
525.175839,	143.294660	
526.585842,	143.292200	
527.995841,	143.289880	
529.405851,	143.287290	
530.815844,	143.284840	
532.225851,	143.282640	
533.635839,	143.279800	
535.045851,	143.277730	
536.455836,	143.275270	
537.865849,	143.272950	
539.275846,	143.270100	
540.685852,	143.268040	
542.095849,	143.265580	
543.505848,	143.263000	
544.915844,	143.260670	
546.325853,	143.258220	
547.735848,	143.256020	
549.145846,	143.253430	
550.555854,	143.251110	
551.965848,	143.248520	
553.375851,	143.246200	
554.785849,	143.244000	
556.195850,	143.241420	
557.605845,	143.239090	
559.015847,	143.236630	
560.425848,	143.234180	
561.835853,	143.231980	
563.245853,	143.229530	
564.655849,	143.227200	
566.065846,	143.225000	
567.475849,	143.222550	
568.885851,	143.219710	
570.295854,	143.217770	
571.705850,	143.215310	
573.115845,	143.212990	
574.525850,	143.210660	
575.935845,	143.208080	
577.345836,	143.205880	
578.755840,	143.203420	
580.165852,	143.201230	
581.575844,	143.198770	
582.985843,	143.196580	
584.395847,	143.194380	
585.805845,	143.191920	
587.215843,	143.189860	
588.625847,	143.187010	
590.035844,	143.185070	
591.445854,	143.182490	
592.855851,	143.179910	
594.265844,	143.177840	
595.675852,	143.175640	
597.085849,	143.173190	
598.495843,	143.170990	
599.905844,	143.168400	
601.315849,	143.166080	
602.725846,	143.164010	
604.135847,	143.161810	
605.545844,	143.159750	
606.955847,	143.157030	
608.365835,	143.154840	
609.775843,	143.152120	
611.185847,	143.150050	
612.595842,	143.147730	
614.005845,	143.145530	
615.415839,	143.143210	
616.825833,	143.140750	
618.235834,	143.138810	
619.645842,	143.136620	
621.055840,	143.134030	
622.465843,	143.131830	
623.875844,	143.129380	
625.285848,	143.127700	
626.695838,	143.125110	
628.105843,	143.122660	
629.515839,	143.120460	
630.925847,	143.118520	
632.335853,	143.115940	
633.745843,	143.113740	
635.155850,	143.111420	
636.565848,	143.109350	
637.975839,	143.106890	
639.385848,	143.104440	
640.795846,	143.102630	
642.205838,	143.100430	
643.615840,	143.098110	
645.025839,	143.095520	
646.435844,	143.093330	
647.845841,	143.091260	
649.255842,	143.089190	
650.665849,	143.086860	
652.075842,	143.084670	
653.485840,	143.082730	
654.895846,	143.080660	
656.305847,	143.078340	
657.715837,	143.075750	
659.125838,	143.073680	
660.535843,	143.071360	
661.945842,	143.069160	
663.355839,	143.067350	
664.765839,	143.064770	
666.175845,	143.062700	
667.585833,	143.060240	
668.995833,	143.058180	
670.405844,	143.056110	
671.815842,	143.053780	
673.225844,	143.051590	
674.635838,	143.049650	
676.045845,	143.047320	
677.455839,	143.045250	
678.865839,	143.042930	
680.275844,	143.040730	
681.685837,	143.038660	
683.095838,	143.036210	
684.505843,	143.034270	
685.915843,	143.032070	
687.325836,	143.030130	
688.735838,	143.027810	
690.145837,	143.025740	
691.555851,	143.023540	
692.965837,	143.021220	
694.375841,	143.019280	
695.785845,	143.017080	
697.195842,	143.014890	
698.605843,	143.012820	
700.015833,	143.010620	
701.425846,	143.008430	
702.835838,	143.006360	
704.245841,	143.004030	
705.655846,	143.001960	
707.065839,	143.000030	
708.475837,	142.997830	
709.885846,	142.995630	
711.295848,	142.993310	
712.705844,	142.991630	
714.115834,	142.989170	
715.525842,	142.987230	
716.935848,	142.984910	
718.345843,	142.982840	
719.755836,	142.980510	
721.165841,	142.978320	
722.575849,	142.976640	
723.985851,	142.974570	
725.395844,	142.972240	
726.805846,	142.970170	
728.215847,	142.968240	
729.625845,	142.965520	
731.035848,	142.963200	
732.445849,	142.961130	
733.855851,	142.958930	
735.265847,	142.956990	
736.675849,	142.954930	
738.085848,	142.952990	
739.495846,	142.950660	
740.905841,	142.948850	
742.315844,	142.946660	
743.725841,	142.944720	
745.135840,	142.942650	
746.545843,	142.940580	
747.955841,	142.938260	
749.365847,	142.936450	
750.775851,	142.934380	
752.185847,	142.932440	
753.595850,	142.930370	
755.005850,	142.928440	
756.415847,	142.926240	
757.825851,	142.924040	
759.235849,	142.922100	
760.645850,	142.920040	
762.055841,	142.917710	
763.465851,	142.915900	
764.875834,	142.913830	
766.285838,	142.911890	
767.695836,	142.909830	
769.105844,	142.907630	
